"id","categoryId","name","price","description","image","gallery"
248,1,"maleta para gato o perro",175000,"maleta para gato o perro ms","https://images-pets.s3.us-east-2.amazonaws.com/imagenes/maletaAt04.jpg","[""https://images-pets.s3.us-east-2.amazonaws.com/imagenes/maletaAt04.jpg"",""https://images-pets.s3.us-east-2.amazonaws.com/imagenes/maletaAt04.jpg"",""https://images-pets.s3.us-east-2.amazonaws.com/imagenes/maletaAt04.jpg""]"
249,1,"maleta para gato o perro",190000,"maleta para gato o perro ms","https://images-pets.s3.us-east-2.amazonaws.com/imagenes/maletaTT1.jpg","[""https://images-pets.s3.us-east-2.amazonaws.com/imagenes/maletaTT1.jpg"",""https://images-pets.s3.us-east-2.amazonaws.com/imagenes/maletaTT1.jpg"",""https://images-pets.s3.us-east-2.amazonaws.com/imagenes/maletaTT1.jpg""]"
250,1,"maleta para gato o perro",190000,"maleta para gato o perro ms","https://images-pets.s3.us-east-2.amazonaws.com/imagenes/maletaTT2.jpg","[""https://images-pets.s3.us-east-2.amazonaws.com/imagenes/maletaTT2.jpg"",""https://images-pets.s3.us-east-2.amazonaws.com/imagenes/maletaTT2.jpg"",""https://images-pets.s3.us-east-2.amazonaws.com/imagenes/maletaTT2.jpg""]"
251,1,"maleta para gato o perro",190000,"maleta para gato o perro ms","https://images-pets.s3.us-east-2.amazonaws.com/imagenes/maletaTT3.jpg","[""https://images-pets.s3.us-east-2.amazonaws.com/imagenes/maletaTT3.jpg"",""https://images-pets.s3.us-east-2.amazonaws.com/imagenes/maletaTT3.jpg"",""https://images-pets.s3.us-east-2.amazonaws.com/imagenes/maletaTT3.jpg""]"
252,1,"maleta para gato o perro",190000,"maleta para gato o perro ms","https://images-pets.s3.us-east-2.amazonaws.com/imagenes/maletaTT4.jpg","[""https://images-pets.s3.us-east-2.amazonaws.com/imagenes/maletaTT4.jpg"",""https://images-pets.s3.us-east-2.amazonaws.com/imagenes/maletaTT4.jpg"",""https://images-pets.s3.us-east-2.amazonaws.com/imagenes/maletaTT4.jpg""]"
253,1,"maleta para gato o perro",175000,"maleta para gato o perro ms","https://images-pets.s3.us-east-2.amazonaws.com/imagenes/maletaTT5.jpg","[""https://images-pets.s3.us-east-2.amazonaws.com/imagenes/maletaTT5.jpg"",""https://images-pets.s3.us-east-2.amazonaws.com/imagenes/maletaTT5.jpg"",""https://images-pets.s3.us-east-2.amazonaws.com/imagenes/maletaTT5.jpg""]"
254,1,"maleta para gato o perro",200000,"maleta para gato o perro ms","https://images-pets.s3.us-east-2.amazonaws.com/imagenes/maletaAA1.jpg","[""https://images-pets.s3.us-east-2.amazonaws.com/imagenes/maletaAA1.jpg"",""https://images-pets.s3.us-east-2.amazonaws.com/imagenes/maletaAA5.jpg"",""https://images-pets.s3.us-east-2.amazonaws.com/imagenes/maletaAA1.jpg""]"
255,1,"maleta para gato o perro",200000,"maleta para gato o perro ms","https://images-pets.s3.us-east-2.amazonaws.com/imagenes/maletaAA3.jpg","[""https://images-pets.s3.us-east-2.amazonaws.com/imagenes/maletaAA3.jpg"",""https://images-pets.s3.us-east-2.amazonaws.com/imagenes/maletaAA6.jpg"",""https://images-pets.s3.us-east-2.amazonaws.com/imagenes/maletaAA3.jpg""]"
256,1,"maleta para gato o perro",200000,"maleta para gato o perro ms","https://images-pets.s3.us-east-2.amazonaws.com/imagenes/maletaAA7.jpg","[""https://images-pets.s3.us-east-2.amazonaws.com/imagenes/maletaAA7.jpg"",""https://images-pets.s3.us-east-2.amazonaws.com/imagenes/maletaAA8.jpg"",""https://images-pets.s3.us-east-2.amazonaws.com/imagenes/maletaAA7.jpg""]"
257,1,"maleta para gato o perro",200000,"maleta para gato o perro ms","https://images-pets.s3.us-east-2.amazonaws.com/imagenes/maletaAA4.jpg","[""https://images-pets.s3.us-east-2.amazonaws.com/imagenes/maletaAA4.jpg"",""https://images-pets.s3.us-east-2.amazonaws.com/imagenes/maletaAA4.jpg"",""https://images-pets.s3.us-east-2.amazonaws.com/imagenes/maletaAA4.jpg""]"
